jid,formula_raw,formula_reduced,cif_file,cif_path,formation_energy_peratom,ehull,exfoliation_energy,optb88vdw_bandgap,hse_gap,icsd_raw,has_icsd,reference,exp_formula_label,synthesis_data_label
JVASP-20053,NbCoTe2,NbCoTe2,JVASP-20053_NbCoTe2.cif,data/cif/JVASP-20053_NbCoTe2.cif,-0.26763,0.0,80.88,0.0,,,0,mp-5603-1L,0,0
JVASP-20054,PS,PS,JVASP-20054_PS.cif,data/cif/JVASP-20054_PS.cif,-0.03674,0.0,117.84,1.699,,,0,mp-612-1L,0,0
JVASP-20060,SmTe3,SmTe3,JVASP-20060_SmTe3.cif,data/cif/JVASP-20060_SmTe3.cif,-0.93913,0.0,,0.0,,,0,mp-9399-1L,0,0
JVASP-27724,Sb2Te3,Sb2Te3,JVASP-27724_Sb2Te3.cif,data/cif/JVASP-27724_Sb2Te3.cif,-0.05276,0.0,78.13,0.747,,,0,mp-1201-1L,1,1
JVASP-27726,Zr2Te2P,Zr2Te2P,JVASP-27726_Zr2Te2P.cif,data/cif/JVASP-27726_Zr2Te2P.cif,-1.09301,0.0,66.04,0.0,,,0,mp-16765-1L,0,0
JVASP-27727,Ba2N,Ba2N,JVASP-27727_Ba2N.cif,data/cif/JVASP-27727_Ba2N.cif,-0.34721,0.0,205.39,0.0,,,0,mp-1892-1L,0,0
JVASP-27733,TiClO,TiClO,JVASP-27733_TiClO.cif,data/cif/JVASP-27733_TiClO.cif,-2.42049,0.0,41.29,0.0,,,0,mp-22992-1L,0,0
JVASP-27738,ThI2,ThI2,JVASP-27738_ThI2.cif,data/cif/JVASP-27738_ThI2.cif,-1.02544,0.0,80.01,0.0,,,0,mp-27652-1L,0,0
JVASP-27739,ThI4,ThI4,JVASP-27739_ThI4.cif,data/cif/JVASP-27739_ThI4.cif,-1.17173,0.0,89.72,2.018,,,0,mp-27697-1L,0,0
JVASP-27740,NdBr3,NdBr3,JVASP-27740_NdBr3.cif,data/cif/JVASP-27740_NdBr3.cif,-1.89485,0.0,90.04,2.656,,,0,mp-27975-1L,0,0
JVASP-27741,SiP,SiP,JVASP-27741_SiP.cif,data/cif/JVASP-27741_SiP.cif,-0.08296,0.0,65.85,1.985,,,0,mp-2798-1L,0,0
JVASP-27754,NiH2O2,Ni(HO)2,JVASP-27754_NiH2O2.cif,data/cif/JVASP-27754_NiH2O2.cif,-0.7923,0.0,65.11,0.85,3.11,,0,mp-32403-1L,0,0
JVASP-27755,PbF4,PbF4,JVASP-27755_PbF4.cif,data/cif/JVASP-27755_PbF4.cif,-1.79989,0.0,102.41,2.512,,,0,mp-341-1L,0,0
JVASP-27756,AuBr,AuBr,JVASP-27756_AuBr.cif,data/cif/JVASP-27756_AuBr.cif,-0.00385,0.0,84.63,1.887,,,0,mp-505366-1L,0,0
JVASP-27758,HfNCl,HfNCl,JVASP-27758_HfNCl.cif,data/cif/JVASP-27758_HfNCl.cif,-1.98298,0.0,35.23,1.182,,,0,mp-541911-1L,0,0
JVASP-27759,ScBrO,ScBrO,JVASP-27759_ScBrO.cif,data/cif/JVASP-27759_ScBrO.cif,-2.90983,0.0,39.95,3.237,,,0,mp-546279-1L,0,0
JVASP-27766,CrAgP2S6,CrAg(PS3)2,JVASP-27766_CrAgP2S6.cif,data/cif/JVASP-27766_CrAgP2S6.cif,-0.30628,0.0,65.55,0.977,,,0,mp-557592-1L,0,0
JVASP-27773,ZnCl2,ZnCl2,JVASP-27773_ZnCl2.cif,data/cif/JVASP-27773_ZnCl2.cif,-1.08647,0.0,77.92,2.106,,,0,mp-567279-1L,0,0
JVASP-27774,HfIN,HfIN,JVASP-27774_HfIN.cif,data/cif/JVASP-27774_HfIN.cif,-1.49878,0.0,40.34,1.03,,,0,mp-567441-1L,0,0
JVASP-27775,Te2Au,Te2Au,JVASP-27775_Te2Au.cif,data/cif/JVASP-27775_Te2Au.cif,0.25392,0.0,317.55,0.0,,,0,mp-567525-1L,0,0
JVASP-27777,ZrNCl,ZrNCl,JVASP-27777_ZrNCl.cif,data/cif/JVASP-27777_ZrNCl.cif,-1.94882,0.0,34.44,1.913,,,0,mp-568592-1L,0,0
JVASP-27778,Bi2Pt,Bi2Pt,JVASP-27778_Bi2Pt.cif,data/cif/JVASP-27778_Bi2Pt.cif,0.04237,0.0,250.89,0.0,,,0,mp-569581-1L,0,0
JVASP-27780,ZrTiSe4,ZrTiSe4,JVASP-27780_ZrTiSe4.cif,data/cif/JVASP-27780_ZrTiSe4.cif,-1.16726,0.0,96.07,0.0,,,0,mp-570062-1L,0,0
JVASP-27781,BaB2Se6,Ba(BSe3)2,JVASP-27781_BaB2Se6.cif,data/cif/JVASP-27781_BaB2Se6.cif,-0.46141,0.0,126.46,2.226,,,0,mp-570823-1L,0,0
JVASP-27782,FeI2,FeI2,JVASP-27782_FeI2.cif,data/cif/JVASP-27782_FeI2.cif,0.00629,0.0,83.19,0.0,,,0,mp-571122-1L,0,0
JVASP-27834,Ga,Ga,JVASP-27834_Ga.cif,data/cif/JVASP-27834_Ga.cif,0.27517,0.0,250.49,0.0,,,0,mp-10021-1L,0,0
JVASP-27836,Se,Se,JVASP-27836_Se.cif,data/cif/JVASP-27836_Se.cif,0.31299,0.0,147.17,0.0,,,0,mp-1009757-1L,0,0
JVASP-27841,HoSI,HoSI,JVASP-27841_HoSI.cif,data/cif/JVASP-27841_HoSI.cif,-1.8394,0.0,55.48,1.197,3.68,,0,mp-1018731-1L,0,0
JVASP-27846,CeSe2,CeSe2,JVASP-27846_CeSe2.cif,data/cif/JVASP-27846_CeSe2.cif,-1.4665,0.0,,1.116,,,0,mp-1022717-1L,0,0
JVASP-27847,SiS,SiS,JVASP-27847_SiS.cif,data/cif/JVASP-27847_SiS.cif,-0.38921,0.0,0.03,0.641,,,0,mp-1023900-1L,0,0
JVASP-27848,TbCBr,TbCBr,JVASP-27848_TbCBr.cif,data/cif/JVASP-27848_TbCBr.cif,-1.15166,0.0,,0.015,,,0,mp-1025023-1L,0,0
JVASP-27849,TbGaI,TbGaI,JVASP-27849_TbGaI.cif,data/cif/JVASP-27849_TbGaI.cif,-1.03401,0.0,44.67,0.002,,,0,mp-1025099-1L,0,0
JVASP-27851,Al2FeS4,Al2FeS4,JVASP-27851_Al2FeS4.cif,data/cif/JVASP-27851_Al2FeS4.cif,-0.83256,0.0,71.67,0.0,,,0,mp-1025204-1L,0,0
JVASP-27853,Nb2CoS4,Nb2CoS4,JVASP-27853_Nb2CoS4.cif,data/cif/JVASP-27853_Nb2CoS4.cif,-0.58621,0.0,43.94,0.0,,,0,mp-1025350-1L,0,0
JVASP-27855,HfTe3,HfTe3,JVASP-27855_HfTe3.cif,data/cif/JVASP-27855_HfTe3.cif,-0.55041,0.0,74.0,0.0,,,0,mp-1025459-1L,0,0
JVASP-27856,LuTe3,LuTe3,JVASP-27856_LuTe3.cif,data/cif/JVASP-27856_LuTe3.cif,-0.47276,0.0,52.46,0.0,,,0,mp-1025470-1L,0,0
JVASP-27858,DyTe3,DyTe3,JVASP-27858_DyTe3.cif,data/cif/JVASP-27858_DyTe3.cif,-0.53742,0.0,52.0,0.0,,,0,mp-1025482-1L,0,0
JVASP-27859,ThTe3,ThTe3,JVASP-27859_ThTe3.cif,data/cif/JVASP-27859_ThTe3.cif,-0.92261,0.0,70.24,0.665,,,0,mp-1025522-1L,0,0
JVASP-27862,As,As,JVASP-27862_As.cif,data/cif/JVASP-27862_As.cif,0.15055,0.0,150.55,1.632,,,0,mp-11-1L,0,0
JVASP-27864,Ti2Te2P,Ti2Te2P,JVASP-27864_Ti2Te2P.cif,data/cif/JVASP-27864_Ti2Te2P.cif,-0.87844,0.0,58.85,0.0,,,0,mp-12527-1L,0,0
JVASP-27865,Y2C,Y2C,JVASP-27865_Y2C.cif,data/cif/JVASP-27865_Y2C.cif,0.01631,0.0,411.29,0.0,,,0,mp-1334-1L,0,0
JVASP-27866,B3P2,B3P2,JVASP-27866_B3P2.cif,data/cif/JVASP-27866_B3P2.cif,0.79484,0.0,,0.0,,,0,mp-13862-1L,0,0
JVASP-27869,GeTe4As2,Ge(Te2As)2,JVASP-27869_GeTe4As2.cif,data/cif/JVASP-27869_GeTe4As2.cif,0.02163,0.0,,0.692,,,0,mp-14790-1L,0,0
JVASP-27870,HfSe3,HfSe3,JVASP-27870_HfSe3.cif,data/cif/JVASP-27870_HfSe3.cif,-0.98623,0.0,58.53,0.422,,,0,mp-15622-1L,0,0
JVASP-27872,Ho2C,Ho2C,JVASP-27872_Ho2C.cif,data/cif/JVASP-27872_Ho2C.cif,0.03264,0.0,400.66,0.0,,,0,mp-1640-1L,0,0
JVASP-27885,GeS,GeS,JVASP-27885_GeS.cif,data/cif/JVASP-27885_GeS.cif,-0.22721,0.0,132.33,1.744,,,0,mp-2242-1L,0,0
JVASP-27887,Pr2I5,Pr2I5,JVASP-27887_Pr2I5.cif,data/cif/JVASP-27887_Pr2I5.cif,-1.38099,0.0,67.01,0.0,,,0,mp-22854-1L,0,0
JVASP-27889,AgClO4,AgClO4,JVASP-27889_AgClO4.cif,data/cif/JVASP-27889_AgClO4.cif,0.17956,0.0,,2.928,,,0,mp-22993-1L,0,0
JVASP-27890,TiBrO,TiBrO,JVASP-27890_TiBrO.cif,data/cif/JVASP-27890_TiBrO.cif,-2.23072,0.0,43.11,0.0,,,0,mp-23002-1L,0,0
JVASP-27891,ZrIN,ZrIN,JVASP-27891_ZrIN.cif,data/cif/JVASP-27891_ZrIN.cif,-1.49821,0.0,45.26,1.425,,,0,mp-23052-1L,0,0
JVASP-27899,ZrP2H2O6,ZrP2(HO3)2,JVASP-27899_ZrP2H2O6.cif,data/cif/JVASP-27899_ZrP2H2O6.cif,-2.17994,0.0,48.15,2.979,6.05,,0,mp-24030-1L,0,0
JVASP-27900,ErHCl,ErHCl,JVASP-27900_ErHCl.cif,data/cif/JVASP-27900_ErHCl.cif,-1.44617,0.0,,0.0,,,0,mp-24051-1L,0,0
JVASP-27901,ScHCl,ScHCl,JVASP-27901_ScHCl.cif,data/cif/JVASP-27901_ScHCl.cif,-1.4135,0.0,,0.0,,,0,mp-24081-1L,0,0
JVASP-27906,CrClO,CrClO,JVASP-27906_CrClO.cif,data/cif/JVASP-27906_CrClO.cif,-1.63153,0.0,38.93,0.584,,,0,mp-24905-1L,0,0
JVASP-27912,FeO2,FeO2,JVASP-27912_FeO2.cif,data/cif/JVASP-27912_FeO2.cif,-1.21751,0.0,55.29,0.0,,,0,mp-25519-1L,0,0
JVASP-27913,MnH2O2,Mn(HO)2,JVASP-27913_MnH2O2.cif,data/cif/JVASP-27913_MnH2O2.cif,-1.06505,0.0,66.86,0.238,,,0,mp-25546-1L,0,0
JVASP-27915,Te4O9,Te4O9,JVASP-27915_Te4O9.cif,data/cif/JVASP-27915_Te4O9.cif,-0.9425,0.0,110.77,2.68,,,0,mp-27127-1L,0,0
JVASP-27920,NiI2,NiI2,JVASP-27920_NiI2.cif,data/cif/JVASP-27920_NiI2.cif,-0.01828,0.0,81.67,0.167,,,0,mp-27638-1L,0,0
JVASP-27923,TeAuI,TeAuI,JVASP-27923_TeAuI.cif,data/cif/JVASP-27923_TeAuI.cif,-0.0076,0.0,,1.074,,,0,mp-27741-1L,0,0
JVASP-27926,TbCl,TbCl,JVASP-27926_TbCl.cif,data/cif/JVASP-27926_TbCl.cif,-1.45723,0.0,54.81,0.0,,,0,mp-27923-1L,0,0
JVASP-27928,NpO2F2,Np(OF)2,JVASP-27928_NpO2F2.cif,data/cif/JVASP-27928_NpO2F2.cif,-3.10932,0.0,45.28,0.0,,,0,mp-27986-1L,0,0
JVASP-27940,FePSe3,FePSe3,JVASP-27940_FePSe3.cif,data/cif/JVASP-27940_FePSe3.cif,-0.01053,0.0,74.87,0.0,,,0,mp-2928-1L,0,0
JVASP-27950,P2Pd3S8,P2Pd3S8,JVASP-27950_P2Pd3S8.cif,data/cif/JVASP-27950_P2Pd3S8.cif,-0.24053,0.0,83.76,1.811,,,0,mp-3006-1L,0,0
JVASP-27952,PrTe2Se,PrTe2Se,JVASP-27952_PrTe2Se.cif,data/cif/JVASP-27952_PrTe2Se.cif,-1.13812,0.0,,0.0,,,0,mp-30125-1L,0,0
JVASP-27954,Mg5H2O6,Mg5(HO3)2,JVASP-27954_Mg5H2O6.cif,data/cif/JVASP-27954_Mg5H2O6.cif,-2.52568,0.0,18.41,1.543,,,0,mp-30241-1L,0,0
JVASP-27955,Mg4H2O5,Mg4H2O5,JVASP-27955_Mg4H2O5.cif,data/cif/JVASP-27955_Mg4H2O5.cif,-2.43932,0.0,26.39,2.023,3.51,,0,mp-30242-1L,0,0
JVASP-27956,Mg3H2O4,Mg3(HO2)2,JVASP-27956_Mg3H2O4.cif,data/cif/JVASP-27956_Mg3H2O4.cif,-2.31536,0.0,29.35,2.285,3.9,,0,mp-30243-1L,0,0
JVASP-27957,Mg2H2O3,Mg2H2O3,JVASP-27957_Mg2H2O3.cif,data/cif/JVASP-27957_Mg2H2O3.cif,-2.12214,0.0,33.92,1.52,3.99,,0,mp-30244-1L,0,0
JVASP-27958,MgH2O2,Mg(HO)2,JVASP-27958_MgH2O2.cif,data/cif/JVASP-27958_MgH2O2.cif,-1.78884,0.0,58.66,3.218,4.78,,0,mp-30247-1L,0,0
JVASP-27971,CoCl2O8,Co(ClO4)2,JVASP-27971_CoCl2O8.cif,data/cif/JVASP-27971_CoCl2O8.cif,0.08166,0.0,26.43,0.458,,,0,mp-31621-1L,0,0
JVASP-27978,MnO2,MnO2,JVASP-27978_MnO2.cif,data/cif/JVASP-27978_MnO2.cif,-1.68439,0.0,,0.906,,,0,mp-34134-1L,0,0
JVASP-27982,ZnC2S2O6F6,ZnC2S2(OF)6,JVASP-27982_ZnC2S2O6F6.cif,data/cif/JVASP-27982_ZnC2S2O6F6.cif,-1.42328,0.0,15.7,5.951,,,0,mp-40886-1L,0,0
JVASP-27984,ZrBr,ZrBr,JVASP-27984_ZrBr.cif,data/cif/JVASP-27984_ZrBr.cif,-1.0009,0.0,,0.0,,,0,mp-504594-1L,0,0
JVASP-27996,K2PdO2,K2PdO2,JVASP-27996_K2PdO2.cif,data/cif/JVASP-27996_K2PdO2.cif,-0.39364,0.0,847.99,0.0,,,0,mp-540584-1L,0,0
JVASP-27999,YCl,YCl,JVASP-27999_YCl.cif,data/cif/JVASP-27999_YCl.cif,-1.51811,0.0,18.3,0.0,,,0,mp-540884-1L,0,0
JVASP-28000,SmSI,SmSI,JVASP-28000_SmSI.cif,data/cif/JVASP-28000_SmSI.cif,-1.85853,0.0,45.27,2.679,,,0,mp-541073-1L,0,0
JVASP-28006,ThTe2I2,Th(TeI)2,JVASP-28006_ThTe2I2.cif,data/cif/JVASP-28006_ThTe2I2.cif,-0.93559,0.0,95.78,1.274,,,0,mp-542180-1L,0,0
JVASP-28011,YbClO,YbClO,JVASP-28011_YbClO.cif,data/cif/JVASP-28011_YbClO.cif,-2.21558,0.0,45.65,0.0,,,0,mp-546292-1L,0,0
JVASP-28013,Tl2O,Tl2O,JVASP-28013_Tl2O.cif,data/cif/JVASP-28013_Tl2O.cif,-0.59917,0.0,78.16,1.137,,,0,mp-551470-1L,0,0
JVASP-28027,Bi4Te3S8,Bi4Te3S8,JVASP-28027_Bi4Te3S8.cif,data/cif/JVASP-28027_Bi4Te3S8.cif,-0.24845,0.0,64.69,0.923,,,0,mp-557619-1L,0,0
JVASP-28028,NbIO2,NbIO2,JVASP-28028_NbIO2.cif,data/cif/JVASP-28028_NbIO2.cif,-2.01982,0.0,35.37,0.873,,,0,mp-557685-1L,0,0
JVASP-28046,ScIO,ScIO,JVASP-28046_ScIO.cif,data/cif/JVASP-28046_ScIO.cif,-2.67409,0.0,39.21,1.994,,,0,mp-559760-1L,0,0
JVASP-28065,AgBiP2Se6,AgBi(PSe3)2,JVASP-28065_AgBiP2Se6.cif,data/cif/JVASP-28065_AgBiP2Se6.cif,-0.08322,0.0,81.65,1.087,,,0,mp-569126-1L,0,0
JVASP-28071,ErTe3,ErTe3,JVASP-28071_ErTe3.cif,data/cif/JVASP-28071_ErTe3.cif,-0.51509,0.0,52.12,0.0,,,0,mp-569701-1L,0,0
JVASP-28077,Pr4C2Cl5,Pr4C2Cl5,JVASP-28077_Pr4C2Cl5.cif,data/cif/JVASP-28077_Pr4C2Cl5.cif,-1.56424,0.0,122.81,0.0,,,0,mp-570498-1L,0,0
JVASP-28080,Bi2Pb2Se5,Bi2Pb2Se5,JVASP-28080_Bi2Pb2Se5.cif,data/cif/JVASP-28080_Bi2Pb2Se5.cif,-0.44765,0.0,38.56,0.931,,,0,mp-570930-1L,0,0
JVASP-28089,Lu2CCl2,Lu2CCl2,JVASP-28089_Lu2CCl2.cif,data/cif/JVASP-28089_Lu2CCl2.cif,-1.66059,0.0,42.1,1.135,,,0,mp-573376-1L,0,0
JVASP-28093,YbBrO,YbBrO,JVASP-28093_YbBrO.cif,data/cif/JVASP-28093_YbBrO.cif,-2.14337,0.0,38.76,0.0,,,0,mp-601693-1L,0,0
JVASP-28095,Pb2O3,Pb2O3,JVASP-28095_Pb2O3.cif,data/cif/JVASP-28095_Pb2O3.cif,-0.88837,0.0,100.33,1.846,,,0,mp-608439-1L,0,0
JVASP-28106,CoH2O2,Co(HO)2,JVASP-28106_CoH2O2.cif,data/cif/JVASP-28106_CoH2O2.cif,-0.77285,0.0,,0.0,,,0,mp-625953-1L,0,0
JVASP-28112,CdInGaS4,CdInGaS4,JVASP-28112_CdInGaS4.cif,data/cif/JVASP-28112_CdInGaS4.cif,-0.58831,0.0,37.07,0.494,,,0,mp-630773-1L,0,0
JVASP-28115,TbH2Br,TbH2Br,JVASP-28115_TbH2Br.cif,data/cif/JVASP-28115_TbH2Br.cif,-1.1278,0.0,28.71,1.892,,,0,mp-642807-1L,0,0
JVASP-28125,Nb3IrSe8,Nb3IrSe8,JVASP-28125_Nb3IrSe8.cif,data/cif/JVASP-28125_Nb3IrSe8.cif,-0.6288,0.0,88.04,0.0,,,0,mp-675066-1L,0,0
JVASP-28127,Bi2PbSe4,Bi2PbSe4,JVASP-28127_Bi2PbSe4.cif,data/cif/JVASP-28127_Bi2PbSe4.cif,-0.4088,0.0,48.72,1.005,,,0,mp-675543-1L,0,0
JVASP-28130,Bi2Te4Pb,Bi2Te4Pb,JVASP-28130_Bi2Te4Pb.cif,data/cif/JVASP-28130_Bi2Te4Pb.cif,-0.23203,0.0,55.67,1.077,,,0,mp-676250-1L,0,0
JVASP-28136,PtCl2,PtCl2,JVASP-28136_PtCl2.cif,data/cif/JVASP-28136_PtCl2.cif,-0.02464,0.0,60.98,0.031,,,0,mp-684670-1L,0,0
JVASP-28139,YbBr3,YbBr3,JVASP-28139_YbBr3.cif,data/cif/JVASP-28139_YbBr3.cif,-1.30646,0.0,123.01,0.0,,,0,mp-685068-1L,0,0
JVASP-28143,Tb2C,Tb2C,JVASP-28143_Tb2C.cif,data/cif/JVASP-28143_Tb2C.cif,0.05049,0.0,369.78,0.0,,,0,mp-692-1L,0,0
JVASP-28152,GeSe,GeSe,JVASP-28152_GeSe.cif,data/cif/JVASP-28152_GeSe.cif,-0.12712,0.0,,1.406,,,0,mp-700-1L,0,0
JVASP-28153,HgF,HgF,JVASP-28153_HgF.cif,data/cif/JVASP-28153_HgF.cif,-0.5304,0.0,585.96,2.651,,,0,mp-706-1L,0,0
JVASP-28173,HoIO,HoIO,JVASP-28173_HoIO.cif,data/cif/JVASP-28173_HoIO.cif,-2.86147,0.0,47.64,3.66,,,0,mp-753173-1L,0,0
JVASP-28176,LaBi2O4,La(BiO2)2,JVASP-28176_LaBi2O4.cif,data/cif/JVASP-28176_LaBi2O4.cif,-1.92481,0.0,,0.0,,,0,mp-753380-1L,0,0
JVASP-28183,TiSnO3,TiSnO3,JVASP-28183_TiSnO3.cif,data/cif/JVASP-28183_TiSnO3.cif,-2.48745,0.0,35.87,2.267,,,0,mp-754246-1L,0,0
JVASP-28185,ZrBrO,ZrBrO,JVASP-28185_ZrBrO.cif,data/cif/JVASP-28185_ZrBrO.cif,-2.38808,0.0,,0.0,,,0,mp-754503-1L,0,0
JVASP-28199,VC2O6,V(CO3)2,JVASP-28199_VC2O6.cif,data/cif/JVASP-28199_VC2O6.cif,-1.57911,0.0,39.91,0.0,,,0,mp-763352-1L,0,0
JVASP-28212,TiCo3O8,TiCo3O8,JVASP-28212_TiCo3O8.cif,data/cif/JVASP-28212_TiCo3O8.cif,-1.39584,0.0,52.4,0.0,,,0,mp-765864-1L,0,0
JVASP-28218,MnC2O6,Mn(CO3)2,JVASP-28218_MnC2O6.cif,data/cif/JVASP-28218_MnC2O6.cif,-1.36433,0.0,,1.517,,,0,mp-768036-1L,0,0
JVASP-28223,FeC2O6,Fe(CO3)2,JVASP-28223_FeC2O6.cif,data/cif/JVASP-28223_FeC2O6.cif,-1.17809,0.0,43.06,0.0,,,0,mp-769642-1L,0,0
JVASP-28236,FeCoO4,FeCoO4,JVASP-28236_FeCoO4.cif,data/cif/JVASP-28236_FeCoO4.cif,-1.08858,0.0,,0.0,,,0,mp-771871-1L,0,0
JVASP-28250,TiGeO3,TiGeO3,JVASP-28250_TiGeO3.cif,data/cif/JVASP-28250_TiGeO3.cif,-2.41311,0.0,34.59,1.884,,,0,mp-780260-1L,0,0
JVASP-28252,Mg2SiO4,Mg2SiO4,JVASP-28252_Mg2SiO4.cif,data/cif/JVASP-28252_Mg2SiO4.cif,-1.06334,0.0,1604.04,0.0,,,0,mp-7983-1L,0,0
JVASP-28262,GaHO2,GaHO2,JVASP-28262_GaHO2.cif,data/cif/JVASP-28262_GaHO2.cif,-1.54333,0.0,38.11,1.216,,,0,mp-867675-1L,0,0
JVASP-28268,GeTe,GeTe,JVASP-28268_GeTe.cif,data/cif/JVASP-28268_GeTe.cif,0.43312,0.0,543.47,1.401,,,0,mp-938-1L,0,0
JVASP-28270,BiS2,BiS2,JVASP-28270_BiS2.cif,data/cif/JVASP-28270_BiS2.cif,-0.19279,0.0,173.8,1.448,,,0,mp-971673-1L,0,0
JVASP-28277,B2C3N6,B2(CN2)3,JVASP-28277_B2C3N6.cif,data/cif/JVASP-28277_B2C3N6.cif,-0.10021,0.0,44.03,2.526,,,0,mp-989460-1L,0,0
JVASP-28280,AgBiO2,AgBiO2,JVASP-28280_AgBiO2.cif,data/cif/JVASP-28280_AgBiO2.cif,-0.80342,0.0,107.79,2.058,,,0,mp-996969-1L,0,0
JVASP-28291,CoS2,CoS2,JVASP-28291_CoS2.cif,data/cif/JVASP-28291_CoS2.cif,-0.25027,0.0,124.5,0.0,,,0,mvc-11233-1L,0,0
JVASP-28292,FeS2,FeS2,JVASP-28292_FeS2.cif,data/cif/JVASP-28292_FeS2.cif,-0.33102,0.0,50.57,0.0,,,0,mvc-11234-1L,0,0
JVASP-28295,NiS2,NiS2,JVASP-28295_NiS2.cif,data/cif/JVASP-28295_NiS2.cif,-0.21851,0.0,67.3,0.525,,,0,mvc-11598-1L,0,0
JVASP-28296,SnO2,SnO2,JVASP-28296_SnO2.cif,data/cif/JVASP-28296_SnO2.cif,-1.51479,0.0,87.46,2.64,,,0,mvc-11686-1L,0,0
JVASP-28311,SbN,SbN,JVASP-28311_SbN.cif,data/cif/JVASP-28311_SbN.cif,0.41137,0.0,80.68,2.066,,,0,mvc-15384-1L,0,0
JVASP-31348,HfSiTe,HfSiTe,JVASP-31348_HfSiTe.cif,data/cif/JVASP-31348_HfSiTe.cif,-0.62402,0.0,63.66,0.0,,,0,mp-13963-1L,0,0
JVASP-31349,As,As,JVASP-31349_As.cif,data/cif/JVASP-31349_As.cif,0.16035,0.0,134.86,0.747,,,0,mp-158-1L,0,0
JVASP-31353,InBi,InBi,JVASP-31353_InBi.cif,data/cif/JVASP-31353_InBi.cif,0.24045,0.0,240.72,0.0,,,0,mp-23313-1L,0,0
JVASP-31356,NbO2,NbO2,JVASP-31356_NbO2.cif,data/cif/JVASP-31356_NbO2.cif,-2.24528,0.0,67.44,0.0,,,0,mp-25214-1L,0,0
JVASP-31357,Nb3I8,Nb3I8,JVASP-31357_Nb3I8.cif,data/cif/JVASP-31357_Nb3I8.cif,-0.45017,0.0,100.5,0.0,,,0,mp-27772-1L,0,0
JVASP-31361,PdSe6Cl2,Pd(Se3Cl)2,JVASP-31361_PdSe6Cl2.cif,data/cif/JVASP-31361_PdSe6Cl2.cif,-0.07952,0.0,102.78,1.46,,,0,mp-29469-1L,0,0
JVASP-31363,GeSb2Te4,Ge(SbTe2)2,JVASP-31363_GeSb2Te4.cif,data/cif/JVASP-31363_GeSb2Te4.cif,-0.06704,0.0,,0.845,,,0,mp-29641-1L,0,0
JVASP-31366,Sb2Te2Se,Sb2Te2Se,JVASP-31366_Sb2Te2Se.cif,data/cif/JVASP-31366_Sb2Te2Se.cif,-0.12555,0.0,,0.695,,,0,mp-3525-1L,0,0
JVASP-31367,ZrBr,ZrBr,JVASP-31367_ZrBr.cif,data/cif/JVASP-31367_ZrBr.cif,-1.00088,0.0,55.34,0.0,,,0,mp-504594-1L,0,0
JVASP-31368,MoO3,MoO3,JVASP-31368_MoO3.cif,data/cif/JVASP-31368_MoO3.cif,-2.04024,0.0,45.94,1.823,,,0,mp-510584-1L,0,0
JVASP-31373,Bi2Se3,Bi2Se3,JVASP-31373_Bi2Se3.cif,data/cif/JVASP-31373_Bi2Se3.cif,-0.33748,0.0,66.81,0.96,,,0,mp-541837-1L,1,1
JVASP-31374,ZrBrN,ZrBrN,JVASP-31374_ZrBrN.cif,data/cif/JVASP-31374_ZrBrN.cif,-1.76893,0.0,36.73,1.702,,,0,mp-541912-1L,0,0
JVASP-31375,PdSeO3,PdSeO3,JVASP-31375_PdSeO3.cif,data/cif/JVASP-31375_PdSeO3.cif,-0.59805,0.0,76.13,1.111,,,0,mp-545482-1L,0,0
JVASP-31377,NbBr2O,NbBr2O,JVASP-31377_NbBr2O.cif,data/cif/JVASP-31377_NbBr2O.cif,-1.55213,0.0,62.8,0.82,,,0,mp-550070-1L,0,0
JVASP-31378,SrSbSe2F,SrSbSe2F,JVASP-31378_SrSbSe2F.cif,data/cif/JVASP-31378_SrSbSe2F.cif,-1.76659,0.0,57.38,0.155,,,0,mp-556194-1L,0,0
JVASP-31379,CoO2,CoO2,JVASP-31379_CoO2.cif,data/cif/JVASP-31379_CoO2.cif,-0.92501,0.0,1.66,0.0,,,0,mp-556750-1L,0,0
JVASP-31418,SbAsO4,SbAsO4,JVASP-31418_SbAsO4.cif,data/cif/JVASP-31418_SbAsO4.cif,-1.23536,0.0,93.94,3.63,,,0,mp-7784-1L,0,0
JVASP-31419,ZrTiTe4,ZrTiTe4,JVASP-31419_ZrTiTe4.cif,data/cif/JVASP-31419_ZrTiTe4.cif,-0.69181,0.0,113.12,0.0,,,0,mp-8677-1L,0,0
JVASP-31420,Te3As2,Te3As2,JVASP-31420_Te3As2.cif,data/cif/JVASP-31420_Te3As2.cif,0.06403,0.0,71.72,0.747,,,0,mp-9897-1L,0,0
JVASP-5871,YN,YN,JVASP-5871_YN.cif,data/cif/JVASP-5871_YN.cif,-0.81808,0.0,1027.61,0.775,,,0,mp-6913-1L,0,0
JVASP-5872,TaS2,TaS2,JVASP-5872_TaS2.cif,data/cif/JVASP-5872_TaS2.cif,-1.03858,0.0,91.88,0.0,,,0,mp-1690-1L,1,1
JVASP-5874,PtO2,PtO2,JVASP-5874_PtO2.cif,data/cif/JVASP-5874_PtO2.cif,-0.50037,0.0,79.79,1.788,,,0,mp-7868-1L,0,0
JVASP-5887,CdBr2,CdBr2,JVASP-5887_CdBr2.cif,data/cif/JVASP-5887_CdBr2.cif,-0.80912,0.0,76.01,2.564,,,0,mp-27934-1L,0,0
